# %ECSV 0.9
# ---
# datatype:
# - {name: wavelength, unit: nm, datatype: float64}
# - {name: angle, unit: deg, datatype: float64}
# - {name: '4', datatype: float64}
# - {name: '3', datatype: float64}
# - {name: '2', datatype: float64}
# - {name: '1', datatype: float64}
# - {name: '0', datatype: float64}
# - {name: '-1', datatype: float64}
# - {name: '-2', datatype: float64}
# - {name: '-3', datatype: float64}
# - {name: '-4', datatype: float64}
# - {name: '-5', datatype: float64}
# - {name: '-6', datatype: float64}
# - {name: '-7', datatype: float64}
# - {name: '-8', datatype: float64}
# - {name: '-9', datatype: float64}
# - {name: '-10', datatype: float64}
# - {name: '-11', datatype: float64}
# - {name: '-12', datatype: float64}
# - {name: '-13', datatype: float64}
# - {name: '-14', datatype: float64}
# - {name: '-15', datatype: float64}
# meta: !!omap
# - {Author: Ralf Heilmann}
# - {ORIGFILE: Si_4um_deep_30pct_dc_extended.csv}
# - {Description: Calculated grating efficiencies}
# - {Grating: Si 4 my deep}
# schema: astropy-2.0
wavelength angle 4 3 2 1 0 -1 -2 -3 -4 -5 -6 -7 -8 -9 -10 -11 -12 -13 -14 -15
0.124 1.15 4.83e-05 9.21e-05 0.001162489 0.036482594 0.913345351 0.0377584795 0.0018489505 0.0001443148 8.09e-05 2.42e-05 1.13e-05 2.99e-06 5.57e-06 1.75e-06 2.63e-07 3.06e-06 4.91e-07 5.71e-07 8.59e-07 1.65e-06
0.124 1.2 3.35e-05 7.75e-05 0.0007945639 0.0346629162 0.917911869 0.035958641 0.0013457276 0.0001158382 7.31e-05 5.42e-06 1.26e-05 2.94e-06 6.01e-07 3.69e-06 4.34e-08 9.95e-07 4.89e-07 2.2e-07 7.66e-07 2.98e-07
0.124 1.25 2.06e-05 6.73e-05 0.00051759 0.0328253804 0.922305494 0.0341325291 0.0009381961 9.45e-05 6.07e-05 1.03e-06 1.38e-05 2.94e-06 8.21e-07 5.36e-06 4.92e-07 1.94e-07 2.01e-06 1.75e-07 3.01e-07 2.06e-07
0.124 1.3 1.14e-05 6.02e-05 0.000325131 0.0309814353 0.926521737 0.0322920106 0.0006235416 7.91e-05 4.59e-05 9.37e-06 1.37e-05 2.74e-06 4.98e-06 5.11e-06 9.01e-07 1.22e-06 2.51e-06 3.35e-07 2.26e-07 1.14e-06
0.124 1.35 6.7e-06 5.5e-05 0.0002087293 0.029141198 0.930565931 0.0304482871 0.0003964216 6.85e-05 3.12e-05 2.56e-05 1.2e-05 2.37e-06 9.4e-06 3.13e-06 8.11e-07 2.43e-06 1.28e-06 3.56e-07 5.35e-07 9.6e-07
0.124 1.4 6.61e-06 5.08e-05 0.0001587694 0.0273123469 0.934448829 0.0286105683 0.0002490993 6.1e-05 1.88e-05 4.33e-05 9.05e-06 2.01e-06 1.07e-05 1.06e-06 3.7e-07 2.19e-06 1.31e-07 2.03e-07 5.41e-07 9.17e-08
0.124 1.45 1.03e-05 4.7e-05 0.0001648476 0.0255029713 0.938172236 0.0267864871 0.0001723683 5.56e-05 1.03e-05 5.67e-05 5.77e-06 1.78e-06 8.2e-06 5.2e-07 3.9e-08 8.57e-07 5.44e-07 1.11e-07 2.03e-07 2.75e-07
0.124 1.5 1.63e-05 4.31e-05 0.0002159193 0.0237219832 0.941737337 0.0249844903 0.0001561506 5.14e-05 6.4e-06 6.19e-05 3.34e-06 1.69e-06 3.78e-06 1.67e-06 5.79e-08 8.75e-08 1.64e-06 1.56e-07 1.24e-07 9.15e-07
0.124 1.55 2.32e-05 3.89e-05 0.0003008194 0.0219766477 0.945154847 0.0232131738 0.0001896317 4.75e-05 6.96e-06 5.8e-05 2.46e-06 1.64e-06 5.41e-07 3.21e-06 2.72e-07 6.53e-07 1.69e-06 1.9e-07 3.73e-07 5.91e-07
0.124 1.6 2.91e-05 3.46e-05 0.0004087183 0.020273089 0.948432916 0.0214792909 0.0002616177 4.36e-05 1.11e-05 4.65e-05 3.17e-06 1.52e-06 3.32e-07 3.63e-06 3.89e-07 1.6e-06 6.41e-07 1.44e-07 4.11e-07 1.43e-08
0.124 1.65 3.3e-05 3.03e-05 0.0005293459 0.0186179903 0.95157338 0.0197890937 0.0003611123 3.95e-05 1.74e-05 3.11e-05 4.88e-06 1.28e-06 2.75e-06 2.57e-06 2.93e-07 1.64e-06 3.53e-08 9.96e-08 1.51e-07 3.35e-07
0.124 1.7 3.42e-05 2.62e-05 0.0006533921 0.0170174729 0.954582526 0.0181492373 0.0004775694 3.52e-05 2.42e-05 1.6e-05 6.65e-06 9.99e-07 5.66e-06 9.88e-07 1.03e-07 7.59e-07 6.14e-07 9.76e-08 7.07e-08 7.43e-07
0.124 1.75 3.23e-05 2.25e-05 0.0007725931 0.0154767828 0.957468648 0.0165655315 0.000601236 3.09e-05 2.99e-05 4.98e-06 7.6e-06 7.88e-07 6.86e-06 1.95e-07 2.79e-09 7.04e-08 1.35e-06 1.03e-07 2.63e-07 3.46e-07
0.124 1.8 2.79e-05 1.94e-05 0.0008798669 0.014000366 0.960241112 0.0150430611 0.000723417 2.67e-05 3.34e-05 2.67e-07 7.3e-06 7.22e-07 5.57e-06 7.08e-07 5.3e-08 3.3e-07 1.12e-06 9.41e-08 3.15e-07 2.32e-09
0.124 1.85 2.18e-05 1.71e-05 0.0009694795 0.0125915061 0.962909676 0.0135858875 0.0008364904 2.29e-05 3.41e-05 2.18e-06 5.82e-06 7.97e-07 2.82e-06 1.88e-06 1.56e-07 1.06e-06 2.88e-07 8.35e-08 1.22e-07 3.66e-07
0.124 1.9 1.5e-05 1.57e-05 0.0010371198 0.0112531627 0.965478829 0.0121971685 0.0009341624 1.98e-05 3.18e-05 9.18e-06 3.75e-06 9.31e-07 5.28e-07 2.57e-06 1.85e-07 1.27e-06 5.68e-08 7.8e-08 3.97e-08 5.81e-07
0.124 1.95 8.77e-06 1.51e-05 0.0010800202 0.0099877443 0.967951292 0.0108796954 0.0010114879 1.74e-05 2.7e-05 1.85e-05 1.89e-06 1.01e-06 1.15e-07 2.15e-06 1.16e-07 6.98e-07 6.47e-07 6.68e-08 1.9e-07 1.87e-07
0.124 2.0 4.1e-06 1.51e-05 0.0010969093 0.0087975729 0.970324898 0.0096358383 0.0010650655 1.59e-05 2.07e-05 2.7e-05 8.7e-07 9.47e-07 1.59e-06 1.03e-06 2.8e-08 8.92e-08 1.08e-06 5.65e-08 2.54e-07 2.41e-08
0.124 2.05 1.65e-06 1.57e-05 0.0010879606 0.0076845228 0.972597115 0.0084678052 0.0010929795 1.51e-05 1.39e-05 3.21e-05 9.55e-07 7.41e-07 3.64e-06 1.76e-07 2.24e-09 1.59e-07 7.1e-07 5.88e-08 1.03e-07 3.73e-07
0.124 2.1 1.61e-06 1.65e-05 0.0010546109 0.0066501934 0.974762088 0.0073773928 0.0010948268 1.51e-05 7.91e-06 3.24e-05 1.92e-06 4.85e-07 4.69e-06 2.48e-07 4.03e-08 7.19e-07 1.01e-07 6.25e-08 2.28e-08 4.34e-07
0.124 2.15 3.71e-06 1.73e-05 0.0009993664 0.0056956418 0.976814084 0.0063660618 0.0010715221 1.56e-05 3.56e-06 2.8e-05 3.22e-06 3.16e-07 4e-06 1.03e-06 8.33e-08 9.88e-07 1.16e-07 4.97e-08 1.46e-07 8.29e-08
0.124 2.2 7.3e-06 1.79e-05 0.0009255519 0.0048212921 0.978746054 0.0054346951 0.0010251521 1.64e-05 1.48e-06 2.03e-05 4.22e-06 3.23e-07 2.14e-06 1.72e-06 8.34e-08 6.2e-07 6.28e-07 3.18e-08 2.11e-07 6.08e-08
0.124 2.25 1.15e-05 1.8e-05 0.0008370304 0.0040270032 0.980548735 0.0045835493 0.000958733 1.72e-05 1.81e-06 1.18e-05 4.46e-06 4.93e-07 4.56e-07 1.67e-06 4.71e-08 1.04e-07 8.11e-07 3.12e-08 8.59e-08 3.56e-07
0.124 2.3 1.54e-05 1.77e-05 0.0007380064 0.0033118877 0.982215164 0.0038122811 0.0008759224 1.78e-05 4.19e-06 4.58e-06 3.84e-06 7.1e-07 5.77e-08 9.46e-07 1.27e-08 8.33e-08 3.96e-07 4.07e-08 1.26e-08 3.03e-07
0.124 2.35 1.83e-05 1.67e-05 0.0006328233 0.0026744253 0.983739214 0.0031197976 0.0007808095 1.81e-05 7.94e-06 5.61e-07 2.62e-06 8.29e-07 1.07e-06 2.03e-07 5.54e-09 5.3e-07 1.44e-08 3.55e-08 1.23e-07 2.38e-08
0.124 2.4 1.95e-05 1.51e-05 0.0005258049 0.0021127452 0.985115653 0.002504452 0.0006777011 1.78e-05 1.22e-05 4.11e-07 1.29e-06 7.62e-07 2.62e-06 5.68e-08 1.79e-08 8.32e-07 1.97e-07 1.84e-08 1.92e-07 1.06e-07
0.124 2.45 1.9e-05 1.29e-05 0.0004211452 0.0016246911 0.986344206 0.0019642922 0.00057094 1.69e-05 1.6e-05 3.72e-06 3.41e-07 5.31e-07 3.53e-06 5.59e-07 2.77e-08 6e-07 6.14e-07 1.54e-08 8.48e-08 3.36e-07
0.124 2.5 1.67e-05 1.04e-05 0.0003227241 0.0012077428 0.987428434 0.0014970669 0.0004647927 1.53e-05 1.86e-05 9.16e-06 9.76e-08 2.54e-07 3.16e-06 1.2e-06 2.37e-08 1.43e-07 6.23e-07 2.95e-08 5.75e-09 2.09e-07
0.124 2.55 1.33e-05 7.87e-06 0.0002338786 0.0008589806 0.9883698 0.0011001425 0.0003632991 1.32e-05 1.96e-05 1.49e-05 5.87e-07 6.84e-08 1.84e-06 1.39e-06 1.21e-08 2.4e-08 2.23e-07 3.38e-08 9.3e-08 2.61e-09
0.124 2.6 9.26e-06 5.39e-06 0.0001572794 0.0005751513 0.989166023 0.0007704891 0.000270049 1.08e-05 1.87e-05 1.92e-05 1.54e-06 5.64e-08 4.86e-07 9.75e-07 4.09e-09 3.43e-07 1.77e-09 1.73e-08 1.64e-07 1.38e-07
0.124 2.65 5.4e-06 3.22e-06 9.49e-05 0.00035278 0.989815155 0.0005047812 0.0001880002 8.21e-06 1.63e-05 2.08e-05 2.51e-06 2.04e-07 5.84e-09 3.29e-07 2.55e-09 6.5e-07 2.46e-07 4.57e-09 8e-08 2.95e-07
0.124 2.7 2.32e-06 1.53e-06 4.8e-05 0.0001881813 0.990317444 0.0002994888 0.0001194228 5.71e-06 1.27e-05 1.94e-05 3.08e-06 4.11e-07 6.22e-07 4.53e-09 3.79e-09 5.48e-07 5.53e-07 1.55e-08 1.9e-09 1.35e-07
0.124 2.75 4.7e-07 4.33e-07 1.71e-05 7.74e-05 0.990675388 0.0001508498 6.59e-05 3.49e-06 8.64e-06 1.54e-05 3.03e-06 5.49e-07 1.78e-06 2.43e-07 4.58e-09 1.78e-07 4.6e-07 3.09e-08 6.73e-08 1.02e-09
0.124 2.8 2.25e-08 5.96e-09 1.9e-06 1.62e-05 0.990895132 5.48e-05 2.82e-05 1.72e-06 4.86e-06 1.01e-05 2.39e-06 5.38e-07 2.6e-06 7.82e-07 4.04e-09 1.83e-09 1.14e-07 2.33e-08 1.35e-07 1.56e-07
0.124 2.85 8.88e-07 2.47e-07 1.67e-06 3.4e-07 0.990986345 7.19e-06 6.43e-06 5.42e-07 1.95e-06 4.92e-06 1.42e-06 3.89e-07 2.5e-06 1.12e-06 2.59e-09 2.07e-07 1.73e-08 4.02e-09 7.39e-08 2.48e-07
